154A,GAIA 
21170,"WELLNEO SUGAR Co., Ltd. "
366A0,Wellness Communications Corporation 
24280,WELLNET CORPORATION 
7136,"WELLBIN GROUP CO.,Ltd. "
39910,"Wantedly,Inc "
69250,USHIO INC. 
418A0,???? 
42350,"Ultrafabrics Holdings Co.,Ltd. "
40880,AIR WATER INC. 
72650,"EIKEN INDUSTRIES CO.,LTD "
82420,H2O RETAILING CORPORATION 
78600,Avex Inc. 
55710,"Excite Holdings Co.,Ltd. "
19510,"EXEO Group, Inc. "
39870,Ecomott Inc. 
74270,"ECHO TRADING CO.,LTD. "
57210,S Crypto Energy Inc. 
46280,"SK KAKEN CO.,LTD. "
78720,"ESTELLE HOLDINGS CO.,LTD. "
49510,S.T.CORPORATION 
22920,s foods inc. 
68590,ESPEC CORP. 
88770,ESLEAD CORPORATION 
57420,"NIC Autotec,Inc. "
144A,???????? 
28190,"EBARAFoodsIndustry,Inc. "
92200,"FB CARE SERVICE CO.,LTD. "
65990,"EBRAINS,INC. "
59060,"MK SEIKO CO., LTD. "
24130,"M3, Inc. "
98200,MT GENEX CORPORATION 
5594,??/??/?? 
89140,"Arealink Co.,Ltd. "
67500,"ELECOM CO.,LTD. "
353A0,"Elevator Communications Co.,Ltd. "
36820,"Encourage Technologies Co.,Ltd. "
62180,ENSHU Limited 
48490,en inc. 
45230,"Eisai Co., Ltd. "
31820,Oisix ra daichi Inc. 
62820,OILES CORPORATION 
25330,"Oenon Holdings, Inc. "
62940,OKADA AIYON CORPORATION 
560A,??????????? 
51220,"OKAMOTO INDUSTRIES,INC. "
69140,"OPTEX GROUP Company,Limited "
66450,OMRON CORPORATION 
63800,"ORIENTAL CHAIN MFG. CO., LTD. "
17860,Oriental Shiraishi Corporation 
409A0,"orion breweries,ltd. "
48000,Oricon Inc. 
46420,"ORIGINAL ENGINEERING CONSULTANTS CO.,LTD "
85910,ORIX CORPORATION 
77330,OLYMPUS CORPORATION 
63680,ORGANO CORPORATION 
26890,"OLBA DVx HEALTHCARE,Inc. "
45640,"OncoTherapy Science, Inc. "
45880,Oncolys BioPharma Inc. 
31430,O'will Corporation 
76700,O-WELL CORPORATION 
61360,OSG Corporation 
61030,OKUMA Corporation 
58160,"Onamba Co.,Ltd. "
65720,"OPEN Group, Inc. "
51390,OpenWork Inc. 
35830,AuBEX CORPORATION 
31110,"OMIKENSHI CO.,LTD. "
28110,"KAGOME CO.,LTD. "
69520,"CASIO COMPUTER CO.,LTD. "
74210,"KAPPA.CREATE CO.,LTD. "
70040,Kanadevia Corporation 
58190,"Canare Electric Co., Ltd. "
13760,"KANEKO SEEDS CO., LTD. "
59790,"KANESO CO.,LTD. "
26690,"Kanemi Co.,Ltd. "
52530,COVER Corporation 
80370,KAMEI CORPORATION 
72420,KYB Corporation 
45720,"Carna Biosciences, Inc. "
22290,"CALBEE,Inc. "
78510,"KAWASE COMPUTTER SUPPLIES CO., LTD. "
90590,"Kanda Holdings Co.,Ltd "
22160,Kanro Inc. 
64200,GALILEI HOLDINGS CO. LTD. 
37650,"GungHo Online Entertainment, Inc. "
285A0,Kioxia Holdings Corporation 
63460,"KIKUKAWA ENTERPRISE,INC. "
28010,KIKKOMAN CORPORATION 
45840,Kidswell Bio Corporation 
45470,"KISSEI PHARMACEUTICAL CO.,LTD. "
93680,"KIMURA UNITY CO.,LTD. "
60700,"CAREERLINK CO.,LTD. "
80600,Canon Marketing Japan Inc. 
77510,CANON INC. 
65710,"QB Net Holdings Co.,Ltd. "
28090,Kewpie Corporation 
25030,"Kirin Holdings Company, Limited "
37990,Keyware Solutions Inc. 
25940,key coffee inc 
23750,GIG Works Inc. 
590A0,"giftee Group, Inc. "
70600,geechs inc. 
48940,Cuorips Inc. 
23380,"Quantum Solutions Co.,Ltd. "
30340,"Qol Holdings Co.,Ltd. "
276A0,CCReB Advisors Inc. 
21930,Cookpad Inc. 
65580,"Cookbiz Co.,Ltd. "
53880,"KUNIMINE INDUSTRIES CO.,LTD "
77090,KUBOTEK CORPORATION 
49960,"KUMIAI CHEMICAL INDUSTRY CO., LTD. "
0,Crasus Chemical Inc. 
442A0,"Classico,Inc. "
299A0,"Kurashiru,Inc. "
42400,"CLUSTER TECHNOLOGY CO.,LTD. "
29980,CREAL Inc. 
30240,CREATE CORPORATION 
51870,"CREATE MEDIC CO.,LTD. "
79550,Cleanup Corporation 
432A,?????? 
33550,KURIYAMA HOLDINGS CORPORATION 
48840,"Kringle Pharma,Inc. "
21380,"CROOZ,Inc. "
33200,CROSS PLUS INC. 
81040,KUWAZAWA Holdings Corporation 
89990,Grandy House Corporation 
7137,?????? 
36320,"GREE Holdings, Inc. "
157A0,Green Monster Inc. 
96560,greenland resort company limited 
266A,???????????? 
244A0,"Growth X Partners, Inc. "
71260,"Global Style Co.,Ltd. "
44170,Global Security Experts Inc. 
277A0,Globe-ing Inc. 
79900,"GLOBERIDE, Inc. "
89380,"GLOME Holdings, Inc. "
64570,GLORY LTD. 
30020,GUNZE LIMITED 
34650,"KI-STAR REAL ESTATE CO.,LTD "
30350,ktk INC. 
93120,"THE KEIHIN CO., LTD. "
49600,"CHEMIPRO KASEI KAISHA,LTD "
69190,KEL CORPORATION 
29150,"KENKO Mayonnaise Co., Ltd. "
24110,GENDAI AGENCY INC. 
25790,Coca-Cola Bottlers Japan Holdings Inc. 
79840,"KOKUYO CO.,LTD. "
50210,"COSMO ENERGY HOLDINGS COMPANY,LIMITED "
33860,"COSMO BIO COMPANY, LIMITED "
49230,"COTA CO.,LTD. "
97660,KONAMI GROUP CORPORATION 
49020,"KONICA MINOLTA, INC. "
49560,"KONISHI CO.,LTD. "
17210,COMSYS Holdings Corporation 
37390,CommSeed Corporation 
38440,COMTURE CORPORATION 
146A0,Columbia Works Inc. 
74380,kondotec inc. 
62650,CONVUM Ltd. 
44910,"Computer Management Co.,Ltd. "
92730,"KOA SHOJI HOLDINGS CO.,LTD. "
177A0,"Kohjin Bio Co., Ltd. "
69050,"COSEL CO.,LTD. "
75160,"KOHNAN SHOJI CO.,LTD. "
70810,"Koyou Rentia Co.,Ltd. "
37440,SIOS Corporation 
19990,SAITA CORPORATION 
38100,"CyberStep Holdings, Inc. "
436A0,???????????? 
44980,"Cybertrust Japan Co.,Ltd. "
428A0,"Cypress Holdings Co.,Ltd. "
47760,"Cybozu, Inc. "
31230,"SAIBO Co.,Ltd. "
39960,Signpost Corporation 
46330,SAKATA INX CORPORATION 
66750,"SAXA, Inc. "
42630,"SUSMED, Inc. "
25010,SAPPORO BREWERIES LIMITED 
35440,"SATUDORA HOLDINGS CO.,LTD. "
29230,"SATO FOODS CO., LTD. "
70220,Sanoyas Holdings Corporation 
63870,SAMCO INC. 
48870,"SAWAI GROUP HOLDINGS Co., Ltd. "
49950,"SANKEI CHEMICAL CO.,LTD. "
67070,"Sanken Electric Co.,Ltd. "
34350,"SANKO TECHNO CO,.LTD. "
59850,SUNCALL CORPORATION 
63070,"SANSEI CO.,LTD. "
64440,SANDEN CORPORATION 
25870,Suntory Beverage & Food Limited 
89450,SUNNEXTA GROUP Inc. 
45920,SanBio Company Limited 
89340,"Sun Frontier Fudousan Co.,Ltd. "
78830,"Sun Messe Co.,Ltd. "
14200,Sanyo Homes Corporation 
74860,"sanrin co.,ltd. "
81370,sun-wa technos corporation 
67360,SUNCORPORATION 
50290,circlace Inc 
67690,"THine Electronics, Inc. "
39500,THE PACK CORPORATION 
39890,SHARINGTECHNOLOGY INC. 
31090,SHIKIBO LTD. 
77130,"SIGMAKOKI CO.,LTD. "
37660,"SYSTEMS DESIGN Co.,Ltd. "
24800,"System Location Co.,Ltd. "
68690,SYSMEX CORPORATION 
77620,"Citizen Watch Co., Ltd. "
33600,"SHIP HEALTHCARE HOLDINGS, INC. "
81320,"SHINANEN HOLDINGS CO., LTD. "
29030,"shinobu foods products co., ltd "
250A0,Shimadaya Corporation 
67530,Sharp Corporation 
31790,"Syuppin Co.,Ltd. "
14140,"SHO-BOND Holdings Co., Ltd. "
66580,"Shirai Electronics Indutrial Co.,Ltd "
62760,"SiriusVision CO., LTD. "
39070,Silicon Studio Corporation 
506A,?????? 
17240,SYNCLAYER INC. 
31310,Shinden Hightex Corporation 
45820,SymBio Pharmaceuticals Limited 
65070,"SINFONIA TECHNOLOGY CO., LTD. "
43730,"Simplex Holdings, Inc. "
60860,"Shin Maint Holdings Co.,Ltd. "
76130,SIIX Corp. 
8921,???????? 
35580,"JADE GROUP,Inc. "
520A0,"J-Pharma Co.,Ltd. "
29340,"J Frontier Co.,Ltd. "
71870,"J-LEASE CO.,LTD. "
37790,"J ESCOM HOLDINGS,INC. "
99910,GECOSS CORPORATION 
52820,GEOSTR Corporation 
69070,"GEOMATEC CO.,LTD. "
31570,GEOLIVE Group Corporation 
53420,Janis Ltd. 
95580,"Japaniace Co.,Ltd. "
65440,"JAPAN ELEVATOR SERVICE HOLDINGS CO.,LTD. "
71350,"JAPAN CRAFT HOLDINGS CO., LTD. "
60550,"JAPAN MATERIAL Co.,Ltd. "
92360,Japan M&A Solution Incorporated 
85950,"JAFCO Group Co., Ltd. "
37100,"Jorudan Co.,Ltd. "
76030,"Gyet Co., Ltd. "
255A0,"GLTECHNO HOLDINGS, INC. "
92040,Skymark Airlines Inc. 
94120,SKY Perfect JSAT Corporation 
41200,"SUGAI CHEMICAL INDUSTRY CO., LTD. "
76490,"SUGI HOLDINGS CO.,LTD. "
72690,suzuki motor corporation 
74800,SUZUDEN CORPORATION 
69230,"Stanley Electric Co.,Ltd. "
30830,"Star seeds Co.,Ltd. "
80430,Starzen Company Limited 
88500,starts corporation inc. 
78490,Starts Publishing Corporation 
33930,"Startia Holdings,Inc. "
29750,"Star Mica Holdings Co.,Ltd. "
41090,STELLA CHEMIFA CORPORATION 
48880,STELLA PHARMA CORPORATION 
96320,"Subaru Enterprise Co., Ltd. "
41920,SpiderPlus & Co. 
87390,"SPARX Group Co., Ltd. "
48380,SPACE SHOWER SKIYAKI HOLDINGS INC. 
68170,SUMIDA CORPORATION 
83580,Suruga Bank Ltd. 
92530,Slogan Inc. 
39450,"Superbag Company,Limited "
67240,SEIKO EPSON CORPORATION 
80500,SEIKO GROUP CORPORATION 
90760,"SEINO HOLDINGS CO.,LTD. "
50280,"SecondXight Analytica,Inc. "
64600,SEGA SAMMY HOLDINGS INC. 
78570,"SEKI CO.,LTD. "
39680,"Segue Group Co,.Ltd. "
97350,"SECOM CO., LTD. "
74640,"SAFTEC CO.,LTD. "
78960,"SEVEN INDUSTRIES CO.,LTD. "
48800,"CellSource Co.,Ltd. "
73180,"SERENDIP HOLDINGS Co.,Ltd. "
90510,"SENKON LOGISTICS CO., LTD. "
90690,"SENKO Group Holdings Co.,Ltd. "
490A,???/???? 
48010,"CENTRAL SPORTS CO.,LTD. "
76750,"Central Forest Group, Inc. "
40440,"Central Glass Co.,Ltd. "
32380,"CENTRAL GENERAL DEVELOPMENT CO.,LTD. "
97400,"CENTRAL SECURITY PATROLS CO.,LTD. "
43750,Safie Inc. 
79920,"The Sailor Pen Co.,Ltd. "
21560,SAYLOR ADVERTISING.INC. 
35690,"seiren co.,ltd. "
81350,ZETT CORPORATION 
62670,"GENERAL PACKER CO., LTD. "
82810,"XEBIO HOLDINGS CO.,LTD. "
45590,"ZERIA PHARMCEUTICAL CO., LTD. "
67580,SONY GROUP CORPORATION 
87290,Sony Financial Group Inc. 
99840,SoftBank Group Corp. 
94340,SoftBank Corp. 
36710,"SOFTMAX CO.,LTD "
81520,SOMAR CORPORATION 
45970,Solasia Pharma K.K. 
98670,Solekia Limited 
39290,"SOCIALWIRE CO., LTD. "
43440,SOURCENEXT CORPORATION 
81580,"SODA NIKKA CO., LTD. "
21860,Sobal Corporation 
42310,TIGERS POLYMER CORPORATION 
90870,TAKASE CORPORATION 
78850,"TAKANO CO.,Ltd. "
79810,"TAKARA STANDARD CO.,LTD. "
99820,"Takihyo Co., Ltd. "
61500,"TAKEDA MACHINERY CO., LTD. "
62660,"TAZMO CO.,LTD "
26680,Tabio Corporation 
14190,"Tama Home Co., Ltd. "
61810,Tameny Inc. 
42460,DaikyoNishikawa Corporation 
63670,"DAIKIN INDUSTRIES, LTD. "
64300,"DAIKOKU DENKI CO.,LTD. "
76730,"DAIKO TSUSAN CO.,LTD. "
61380,"DIJET INDUSTRIAL CO., LTD. "
19800,"DAI-DAN CO.,LTD. "
32020,"Daitobo Co., Ltd. "
76090,"Daitron Co.,Ltd. "
43660,Daito Chemix Corporation 
45770,"Daito Pharmaceutical Co., Ltd. "
25900,"DyDo GROUP HOLDINGS,INC. "
39470,"Dynapac Co., Ltd. "
336A0,"Dynamic Map Platform Co.,Ltd. "
59510,"Dainichi Co., Ltd. "
35510,DYNIC CORPORATION 
60230,"DAIHATSU INFINEARTH MFG.CO.,LTD. "
66990,"DIAMOND ELECTRIC HOLDINGS CO.,LTD. "
31070,"Daiwabo Holdings Co.,Ltd. "
66190,W-SCOPE Corporation 
53370,DANTO HOLDINGS CORPORATION 
39330,"CHIeru Co.,Ltd. "
40980,"Titan Kogyo, Ltd. "
31780,"CHIMNEY CO., LTD. "
598A0,"ChatPlus Co., Ltd. "
68030,TEAC CORPORATION 
40550,T&S Group Inc. 
31720,"Tea Life Co.,Ltd "
40270,TAYCA CORPORATION 
73130,"TS TECH CO., LTD. "
429A0,Tekscend Photomask Corp. 
30890,"Techno Alpha Co.,Ltd. "
66290,"TECHNO HORIZON CO.,LTD. "
37620,TECHMATRIX CORPORATION 
36270,TECMIRA HOLDINGS INC. 
50740,"TESS Holdings Co., Ltd. "
36250,Techfirm Holdings Inc. 
39850,TEMONA.inc. 
483A0,???????? 
35210,"THERMAE-YU HOLDINGS CO.,LTD. "
45430,TERUMO CORPORATION 
82070,"TEN ALLIED CO.,LTD. "
23790,DIP corporation 
65490,"DM Solutions Co.,Ltd "
49800,Dexerials Corporation 
23260,Digital Arts Inc. 
350A0,DIGITAL GRID Corporation 
39160,Digital Information Technologies Corporation 
33920,"DELICA FOODS HOLDINGS CO.,LTD. "
40610,Denka Company Limited 
65170,"Denyo Co.,Ltd. "
39050,Datasection Inc. 
44410,Tobila Systems Inc. 
72310,"TOPY INDUSTRIES,LIMITED "
68980,"TOMITA ELECTRIC CO.,LTD. "
86000,"TOMONY Holdings,Inc. "
40580,"Toyokumo,Inc. "
31160,TOYOTA BOSHOKU CORPORATION 
72030,TOYOTA MOTOR CORPORATION 
98300,TRUSCO NAKAYAMA CORPORATION 
32860,TRUST Holdings Inc. 
97150,transcosmos inc. 
63820,TRINITY INDUSTRIAL CORPORATION 
80770,TORQ Inc. 
87040,"Traders Holdings Co.,Ltd. "
66160,TOREX SEMICONDUCTOR LTD. 
60690,"Trenders, Inc. "
47040,Trend Micro Incorporated 
93650,TRADIA CORPORATION 
34330,"TOCALO Co.,Ltd. "
89230,TOSEI CORPORATION 
59560,"TOSO CO., LTD. "
63690,TOYO KANETSU K.K. 
77910,"DREAMBED CO.,LTD. "
80890,Nice Corporation 
56180,Nyle Inc. 
355A,?????? 
79870,"NAKABAYASHI CO.,LTD. "
74470,"NAGAILEBEN Co.,Ltd. "
46270,"NATOCO CO.,LTD. "
62680,Nabtesco Corporation 
80850,"NARASAKI SANGYO CO.,LTD. "
96990,"NISHIO HOLDINGS CO., LTD. "
53930,NICHIAS CORPORATION 
69960,nichicon corporation 
79430,NICHIHA CORPORATION 
42180,"NICHIBAN CO., LTD "
80910,"NICHIMO CO.,LTD. "
50110,"NICHIREKI GROUP CO., LTD. "
90720,"NIKKON Holdings Co.,Ltd. "
53430,NIKKO COMPANY 
51860,Nitta Corporation 
58430,"Nippon Insure Co., Ltd. "
38910,NIPPON KODOSHI CORPORATION 
65940,NIDEC CORPORATION 
42620,"NIFTY Lifestyle Co.,Ltd "
80860,NIPRO CORPORATION 
78200,"NIHON FLUSH CO.,LTD. "
40560,Neural Group Inc. 
589A0,??? 
48140,Nextware Ltd. 
45650,"Nxera Pharma Co., Ltd. "
36220,Netyear Group Corporation 
79850,NEPON Inc. 
48930,Noile-Immune Biotech Inc. 
52570,"NOVA SYSTEM CO.,LTD. "
53310,"NORITAKE CO., LIMITED "
77440,"Noritsu Koki Co.,Ltd. "
307A,?????/???? 
28100,HOUSE FOODS GROUP INC. 
38950,HAVIX CORPORATION 
74440,"Harima-Kyowa Co.,LTD. "
44100,"HARIMA CHEMICALS GROUP, INC. "
275A0,"Hanwa Home's Co., Ltd. "
92700,Valuence Holdings Inc. 
92380,"VALUE CREATION CO.,LTD. "
24910,"ValueCommerce Co., Ltd. "
44420,"VALTES HOLDINGS CO.,LTD. "
66120,BALMUDA Inc. 
51950,"Bando Chemical Industries, Ltd. "
61930,"virtualex holdings, inc. "
56950,"Powdertech Co., Ltd. "
4426,???? 
67520,Panasonic Holdings Corporation 
48090,Paraca Inc. 
68940,"PULSTEC INDUSTRIAL CO.,LTD. "
27780,"PALEMO HOLDINGS CO.,LTD. "
61650,"PUNCH INDUSTRY CO.,LTD. "
46660,"PARK24 Co., Ltd. "
21810,"PERSOL HOLDINGS CO.,LTD. "
549A0,"HITO-TO-HITO Holdings Co.,Ltd. "
24690,Hibino Corporation 
322A,????? 
321A,????????? Holdings 
24150,"Human Holdings Co., Ltd. "
60900,"Human Metabolome Technologies, Inc. "
30030,"Hulic Co.,Ltd. "
30590,"HIRAKI CO.,LTD. "
71850,Hirose Tusyo Inc. 
68060,"HIROSE ELECTRIC CO.,LTD. "
33460,"HIROTA GROUP HOLDINGS Co.,Ltd. "
64330,"HEPHAIST CO.,LTD. "
48280,Business Engineering Corporation 
95620,Business Coach Inc. 
48270,"Business One Holdings Co., Ltd. "
41940,Visional 
93450,"Bizmates, Inc. "
36230,Billing System Corporation 
92160,"Bewith, Inc. "
40200,BETREND CORPORATION 
50150,BP Castrol K.K. 
43810,"BPLATS,Inc. "
34160,PIXTA Inc. 
79560,PIGEON CORPORATION 
18710,"PS Construction Co., Ltd. "
78650,"People Co., Ltd. "
96290,PCA CORPORATION 
93250,PHYZ Holdings Inc. 
69540,FANUC CORPORATION 
55880,"Fast Accounting Co.,Ltd. "
14300,First-corporation Inc. 
34540,"First Brothers Co., Ltd. "
89170,"First Juken Co.,Ltd. "
27960,Pharmarise Holdings Corporation 
212A0,FIT-EASY 
87130,FIDEA Holdings Co. Ltd. 
87890,FinTech Global Incorporated 
40520,Ficha Inc. 
70680,Feedforce Group Inc. 
20600,"FEED ONE CO.,LTD. "
27360,"Festaria Holdings Co.,Ltd. "
67940,"Foster Electric Company, Limited "
304A0,"FORCIA, Inc. "
70890,"for Startups, Inc. "
34770,"FORLIFE Co., Ltd. "
69600,"FUKUDA DENSHI CO.,LTD. "
78710,"FUKUVI CHEMICAL INDUSTRY CO.,LTD. "
284A,????? 
72990,FUJI OOZX Inc. 
79570,"FUJICOPIAN CO., LTD. "
29080,"FUJICCO CO., LTD. "
42370,Fujipream Corporation 
88600,FUJI CORPORATION LIMITED 
21140,Fuji Nihon Corporation 
72410,"FUTABA INDUSTRIAL CO., LTD. "
49980,FUMAKILLALIMITED 
39770,"Fusion Co.,Ltd. "
47220,Future Corporation 
78400,"FRANCE BED HOLDINGS CO.,LTD. "
387A0,"Fuller, Inc. "
62380,FURYU CORPORATION 
63430,FREESIA MACROSS CORPORATION 
38430,"FreeBit Co., Ltd. "
44780,freee K.K. 
65460,Fulltech Co.Ltd. 
92210,FULUHASHI EPO CORPORATION 
70380,Frontier Management Inc. 
7132,????? 
92780,BOOKOFF GROUP HOLDINGS LIMITED 
92720,"Boutiques, Inc. "
45940,"BrightPath Biotherapeutics Co., Ltd. "
64480,BROTHER INDUSTRIES LTD. 
70670,Branding Technology Inc. 
70390,BRIDGE International Group Corp. 
92250,Bridge Consulting Group Inc. 
28040,"BULL-DOG SAUCE CO.,LTD. "
55970,"Blue innovation Co., Ltd. "
40750,"Brains Technology,Inc. "
73430,"Broad-Minded Co.,Ltd. "
43470,Broadmedia Corporation 
22810,"Prima Meat Packers, Ltd. "
367A0,"Primo Global Holdings Co., Ltd. "
78050,PRINTNET INC. 
77070,"Precision System Science Co., Ltd. "
72460,"PRESS KOGYO CO.,LTD. "
49340,"Premier Anti-Aging Co.,Ltd. "
71990,"Premium Group Co., Ltd. "
339A0,"PROGRESS TECHNOLOGIES GROUP,Inc. "
43890,"Property Data Bank,Inc. "
69270,"Helios Techno Holding Co.,Ltd. "
40680,Basis Corporation 
14330,"BESTERRA CO., LTD "
13830,"Berg Earth co.,Ltd. "
70480,VELTRA Corporation 
29360,"BASE FOOD, Inc. "
44810,"BASE CO.,LTD. "
40150,Paycloud Holdings Inc. 
71400,Petgo Corporation 
45870,PeptiDream Inc. 
96790,"HORAI Co.,Ltd. "
78970,"HOKUSHIN CO.,LTD. "
13790,HOKUTO CORPORATION 
64650,HOSHIZAKI CORPORATION 
68040,Hosiden Corporation 
62770,HOSOKAWA MICRON CORPORATION 
59020,HOKKAN HOLDINGS LIMITED 
30770,"Horiifoodservice Co.,Ltd. "
67450,HOCHIKI CORPORATION 
29990,"Home Position Co.,Ltd. "
92640,"Puequ Co., LTD. "
42470,"POVAL KOGYO CO.,LTD. "
30100,"Polaris Holdings Co., Ltd. "
51260,PORTERS CORPORATION 
70470,PORT INC. 
36570,"Pole To Win Holdings, Inc. "
92270,"Microwave Chemical Co., Ltd. "
53810,Mipox Corporation 
68100,"Maxell, Ltd. "
31320,"MACNICA HOLDINGS,INC. "
81980,"Maxvalu Tokai Co., Ltd. "
64540,"MAX CO., LTD. "
72610,Mazda Motor Corporation 
156A0,Material Group inc. 
77300,"MANI, INC. "
86980,"Monex Group, Inc. "
65920,"MABUCHI MOTOR CO., LTD. "
79910,"MAMIYA-OP CO.,LTD. "
25510,"MARUSAN-AI CO.,LTD. "
75240,MARCHE CORPORATION 
561A,??????? 
39010,"MarkLines Co.,Ltd. "
56190,"MRSO.,Inc "
31210,"MBK Co.,Ltd. "
71290,Miahelsa Holdings Corporation 
55350,MIGALO HOLDINGS Inc. 
61590,"MICRON MACHINERY CO., LTD. "
33210,"MITACHI CO.,LTD. "
60930,"MITRA Group, Inc. "
68620,MINATO HOLDINGS INC. 
99460,"MINISTOP CO., LTD. "
64790,MINEBEA MITSUMI Inc. 
191A,??? 
44040,"MiyoshiOil&FatCo.,Ltd. "
42380,"Miraial Co.,Ltd "
332A0,MEEQ Inc. 
79270,MUTO SEIKO CO. 
547A0,Muninova Holdings Inc. 
74770,MURAKI CORPORATION 
81150,"MOONBAT Co., Ltd. "
95510,"METAWATER Co.,Ltd. "
49710,MEC COMPANY LTD. 
31540,"MEDIUS HOLDINGS Co.,Ltd. "
38240,Media Five Co. 
92420,"Media Research Institute,Inc. "
199A,????? 
77490,"MEDIKIT CO.,LTD "
50310,Moi Corporation 
43700,Mobilus Corporation 
59860,"MOLITEC STEEL CO.,LTD. "
98370,"MORITO CO.,LTD. "
